Message_Timestamp;RecNo;Market_Data_Group;DSS_ID;Message_Type;Order_ID;Instrument_ID;Instrument_Identification_Code;Currency;Source_Venue;Order_Book_Type;Side;Size;Price;Old_Price;Old_Size
2023-09-20 15:30:00.001;115300000059;84;6257291;Delete;216771246078933019;360287988354313324;IE00B53HP851;GBX;5;3;B;;;14410.00000000;700.00000000
2023-09-20 15:30:00.001;115300000060;84;6257292;Delete;216771245005054542;360287989923146220;IE00B5377D42;USD;5;3;B;;;43.79000000;1100.00000000
2023-09-20 15:30:00.001;115300000061;84;6257293;Delete;216771225680746804;360287970367154028;GB00BKDTK925;GBX;5;3;S;;;269.00000000;47.00000000
2023-09-20 15:30:00.001;115300000062;84;6257294;Delete;216771245005057027;360287989923146220;IE00B5377D42;USD;5;3;S;;;43.94000000;1100.00000000
2023-09-20 15:30:00.001;115300000063;84;6257295;Delete;216771246078933061;360287992655587436;IE00BWBXM385;USD;5;3;B;;;35.69250000;1400.00000000
2023-09-20 15:30:00.001;115300000064;84;6257296;Delete;216771242857871801;360287993991457900;LU0292097234;GBX;5;3;S;;;766.50000000;12600.00000000
2023-09-20 15:30:00.001;115300000065;84;6257297;Delete;216771209574429604;360287970343805932;ES0177542018;GBX;5;3;S;;;156.30000000;10703.00000000
2023-09-20 15:30:00.001;115300000066;84;6257297;Add;216771209574734508;360287970343805932;ES0177542018;GBX;5;3;S;6386.00000000;156.60000000;;
2023-09-20 15:30:00.001;115300000067;84;6257298;Delete;216771211723011272;360287970329338348;ES0113900J37;GBX;5;3;B;;;303.50000000;5410.00000000
2023-09-20 15:30:00.001;115300000068;84;6257299;Delete;216771245005057104;360287990770227564;IE00B4QNJJ23;GBX;5;3;S;;;35725.00000000;300.00000000
2023-09-20 15:30:00.001;115300000069;84;6257300;Delete;216771243931292742;360287992649275756;IE00B4QNK008;GBX;5;3;B;;;344.70000000;27200.00000000
2023-09-20 15:30:00.001;115300000070;84;6257301;Delete;216771243931292782;360287992649275756;IE00B4QNK008;GBX;5;3;S;;;346.55000000;27200.00000000
2023-09-20 15:30:00.001;115300000071;84;6257302;Delete;216771210648788610;360287992647018348;GB0004082847;GBX;5;3;S;;;750.40000000;211.00000000
2023-09-20 15:30:00.001;115300000072;84;6257302;Add;216771210647632252;360287992647018348;GB0004082847;GBX;5;3;S;292.00000000;751.00000000;;
2023-09-20 15:30:00.001;115300000073;84;6257303;Delete;216771211718509233;360287970329338348;ES0113900J37;GBX;5;3;B;;;299.00000000;5410.00000000
2023-09-20 15:30:00.001;115300000074;84;6257304;Delete;216771208501183904;360287970339826156;GB0002074580;GBX;5;3;S;;;2130.00000000;22.00000000
2023-09-20 15:30:00.001;115300000075;84;6257305;Delete;216771211718586740;360287970329338348;ES0113900J37;GBX;5;3;B;;;300.50000000;5410.00000000
2023-09-20 15:30:00.001;115300000076;84;6257306;Delete;216771211718300767;360287970329338348;ES0113900J37;GBX;5;3;B;;;280.50000000;5410.00000000
